French,salt (935),butter (935),egg (746),olive oil (692),sugar (681),onion (668),garlic clove (666),water (656),milk (638),black pepper (628),pepper (618),thyme (565),flour (554),parsley (543),purpose flour (531),salt pepper (528),lemon juice (523),white wine (484),garlic (475),bay leaf (474),heavy cream (474),shallot (456),nutmeg (439),tomato (432),cream (422),carrot (421),salt black pepper (410),dijon mustard (406),cinnamon (396),brown sugar (395),extra virgin olive oil (395),vegetable oil (394),parmesan cheese (388),lemon (376),french bread (373),egg yolk (364),mushroom (356),bacon (356),kosher salt (353),chicken broth (353),basil (332),oil (331),egg white (327),potato (325),celery (323),rosemary (322),vanilla extract (320),chive (312),cornstarch (312),red wine (299)
Argentine,onion (977),salt (912),garlic clove (865),beef (817),water (790),black pepper (766),pepper (764),olive oil (709),garlic (701),tomato (695),carrot (657),beef broth (643),butter (615),salt pepper (601),vegetable oil (599),worcestershire sauce (598),mushroom (568),sugar (538),soy sauce (538),flour (537),cream (525),potato (512),bay leaf (505),garlic powder (503),thyme (498),chili powder (495),parsley (490),green onion (486),tomato paste (481),oregano (476),brown sugar (474),oil (472),celery (462),cumin (459),red wine (457),egg (455),paprika (447),cornstarch (428),tomato sauce (428),purpose flour (426),green pepper (420),ginger (409),basil (402),cilantro (398),milk (396),green bell pepper (387),cheddar cheese (386),beef stock (386),red pepper flake (382),red bell pepper (370)
Canadian,salt (986),butter (882),egg (761),onion (759),water (732),sugar (692),milk (686),pepper (665),black pepper (603),lemon juice (595),garlic clove (587),olive oil (583),flour (577),garlic (570),salt pepper (547),parsley (542),brown sugar (541),purpose flour (539),carrot (523),cream (510),tomato (489),cinnamon (475),celery (471),vegetable oil (464),thyme (449),green onion (446),baking powder (416),basil (411),mushroom (406),potato (401),cornstarch (394),ginger (394),nutmeg (389),parmesan cheese (383),red pepper (370),lemon (370),maple syrup (367),dijon mustard (363),honey (359),mayonnaise (356),green pepper (349),worcestershire sauce (349),breadcrumb (345),cream cheese (343),mustard (342),cayenne pepper (338),paprika (334),oregano (334),cheddar cheese (334),garlic powder (334)
Chinese,salt (859),soy sauce (833),water (815),garlic clove (778),ginger (746),sugar (729),onion (709),green onion (668),garlic (667),sesame oil (658),cornstarch (656),vegetable oil (593),egg (590),carrot (581),black pepper (574),oil (564),chicken broth (562),scallion (553),rice (543),pepper (516),butter (500),chicken breast (497),peanut oil (460),olive oil (444),celery (441),brown sugar (429),sherry (429),cilantro (423),mushroom (422),water chestnut (418),gingerroot (416),red bell pepper (415),oyster sauce (411),chicken (410),chicken stock (406),sesame seed (403),salt pepper (400),honey (399),red pepper flake (388),canola oil (386),white pepper (375),rice vinegar (372),hoisin sauce (372),shrimp (370),pork (364),tomato (360),lemon juice (354),red pepper (352),white rice (341),garlic powder (333)
Thai,garlic clove (506),soy sauce (503),fish sauce (494),lime juice (490),ginger (486),cilantro (467),salt (458),coconut milk (450),sugar (444),garlic (444),water (425),green onion (406),brown sugar (401),peanut (396),vegetable oil (385),chicken breast (380),carrot (377),onion (375),lemongrass (375),sesame oil (341),coriander (326),shallot (325),lime (313),olive oil (304),scallion (302),red pepper flake (300),basil (297),peanut butter (294),oil (288),red bell pepper (286),chicken broth (285),shrimp (279),gingerroot (276),black pepper (275),peanut oil (273),egg (270),honey (265),bean sprout (264),red onion (258),rice vinegar (256),cucumber (256),red curry paste (254),canola oil (253),red pepper (251),cilantro leaf (249),curry powder (247),kaffir lime leaf (247),tomato (246),lemon juice (243),chicken (233)
Indian,salt (857),onion (770),ginger (725),water (709),tomato (649),garlic clove (646),turmeric (631),cumin (605),coriander (591),garam masala (590),cinnamon (588),garlic (588),butter (586),oil (576),cumin seed (569),sugar (564),black pepper (562),cilantro (561),lemon juice (557),vegetable oil (546),curry powder (530),potato (514),olive oil (511),clove (511),chili powder (484),milk (483),carrot (476),turmeric powder (456),green chilies (454),ghee (441),plain yogurt (438),cardamom (434),bay leaf (430),cayenne pepper (424),red chili powder (423),mustard seed (423),coconut milk (412),coriander leaf (402),egg (401),curry leaf (398),coconut (389),paprika (384),coriander powder (379),cream (376),yogurt (375),chicken (374),cashew (371),almond (370),gingerroot (367),coriander seed (365)
Greek,olive oil (634),salt (586),garlic clove (557),feta cheese (552),oregano (521),onion (519),lemon juice (506),black pepper (496),tomato (466),water (463),parsley (443),pepper (439),egg (438),butter (438),garlic (433),lemon (413),salt pepper (403),extra virgin olive oil (393),cinnamon (389),kalamata olive (381),sugar (378),red onion (368),mint (327),basil (310),milk (309),dill (305),parmesan cheese (301),cucumber (299),red wine vinegar (295),flour (289),spinach (283),salt black pepper (279),lemon zest (276),black olive (269),purpose flour (268),nutmeg (261),green onion (261),tomato paste (260),lamb (260),white wine (256),carrot (254),honey (252),cumin (245),feta (245),zucchini (239),greek yogurt (238),thyme (235),plain yogurt (234),eggplant (234),beef (233)
Mexican,salt (431),cilantro (410),onion (408),garlic clove (406),water (402),cumin (398),tomato (398),chili powder (390),cream (388),olive oil (384),garlic (379),black pepper (377),oregano (371),vegetable oil (368),lime juice (362),butter (358),jalapeno pepper (354),salt pepper (352),pepper (352),cheddar cheese (351),black bean (348),chicken broth (343),corn tortilla (342),salsa (339),avocado (338),monterey jack cheese (336),egg (332),jalapeno (330),chicken breast (325),flour tortilla (325),green chilies (324),garlic powder (324),sugar (323),green onion (322),milk (319),corn (318),cayenne pepper (312),red bell pepper (303),lime (301),red onion (301),beef (299),tomato sauce (296),green bell pepper (296),chicken (290),flour (284),paprika (283),oil (279),white onion (278),cinnamon (273),tortilla chip (268)
English,butter (561),salt (506),egg (456),onion (443),milk (411),sugar (385),olive oil (373),water (365),flour (362),garlic clove (339),salt pepper (316),black pepper (316),carrot (303),cinnamon (293),purpose flour (290),lemon (281),nutmeg (271),lemon juice (270),potato (260),parsley (259),thyme (259),brown sugar (244),plain flour (233),celery (232),worcestershire sauce (231),baking powder (229),pepper (225),tomato (220),bay leaf (220),egg yolk (217),ginger (216),cream (216),salt black pepper (211),cheddar cheese (211),heavy cream (210),leek (201),almond (200),clove (197),vegetable oil (192),white wine (191),mushroom (185),garlic (176),paprika (169),sea salt (166),raisin (165),caster sugar (164),red onion (164),apple (163),rosemary (163),lemon zest (163)
Nigerian,salt (544),onion (488),water (467),garlic clove (444),olive oil (417),cinnamon (403),tomato (391),butter (391),ginger (374),lemon juice (367),sugar (363),cumin (360),black pepper (358),egg (320),garlic (315),lemon (308),coriander (305),parsley (303),carrot (302),turmeric (298),salt pepper (298),potato (290),pepper (290),oil (289),milk (267),vegetable oil (264),cayenne pepper (263),paprika (261),curry powder (254),cilantro (239),flour (238),chicken broth (234),salt black pepper (233),bay leaf (230),clove (227),almond (225),chicken (217),nutmeg (211),raisin (211),brown sugar (208),honey (205),tomato paste (204),thyme (199),mint (198),chickpea (196),coconut milk (192),couscous (189),cardamom (188),red onion (186),extra virgin olive oil (185)
Australian,butter (692),salt (659),olive oil (638),egg (636),garlic clove (625),onion (601),water (594),lemon juice (555),black pepper (552),cream (542),milk (534),garlic (478),brown sugar (473),parsley (466),sugar (461),salt pepper (443),tomato (442),plain flour (415),carrot (414),lemon (414),ginger (401),potato (401),pepper (388),oil (377),caster sugar (364),vegetable oil (362),green onion (347),red onion (344),honey (343),soy sauce (342),parmesan cheese (333),cinnamon (331),flour (328),red capsicum (310),self raising flour (301),sea salt (289),paprika (285),coriander (284),chicken stock (284),lime juice (284),celery (277),zucchini (275),orange juice (275),white wine (273),basil (273),mushroom (267),cumin (266),chive (264),nutmeg (264),curry powder (262)
Irish,butter (467),salt (455),milk (381),onion (368),egg (363),water (361),sugar (357),purpose flour (302),potato (296),carrot (292),flour (285),cream (284),brown sugar (270),garlic clove (256),black pepper (245),parsley (237),olive oil (232),salt pepper (227),bay leaf (222),garlic (220),pepper (218),thyme (206),celery (206),vegetable oil (202),baking powder (202),beef (192),bacon (186),nutmeg (182),cheddar cheese (179),cinnamon (177),heavy cream (174),lemon juice (171),guinness stout (171),baking soda (170),cabbage (168),cream cheese (164),irish whiskey (162),clove (158),salt black pepper (157),tomato (156),beef brisket (152),half (150),whipping cream (149),beer (144),leek (144),mustard (142),kosher salt (142),worcestershire sauce (142),vanilla extract (141),buttermilk (137)
Italian,salt (498),olive oil (484),butter (477),garlic clove (470),black pepper (469),egg (466),parmesan cheese (466),onion (465),water (465),garlic (453),tomato (453),basil (451),parsley (445),oregano (443),salt pepper (440),sugar (436),extra virgin olive oil (435),pepper (432),mozzarella cheese (420),milk (418),red pepper flake (409),white wine (398),mushroom (396),flour (385),carrot (376),purpose flour (373),basil leaf (372),chicken broth (368),tomato paste (368),lemon juice (361),italian seasoning (359),thyme (357),ricotta cheese (352),kosher salt (352),red pepper (350),heavy cream (349),tomato sauce (349),garlic powder (348),spinach (346),salt black pepper (346),celery (340),rosemary (339),zucchini (338),chicken breast (335),italian sausage (334),cream (333),red bell pepper (331),lemon (329),nutmeg (323),red wine (319)
German,salt (522),butter (459),sugar (440),water (438),egg (414),onion (383),flour (381),milk (369),purpose flour (325),pepper (312),black pepper (285),cream (265),cinnamon (257),parsley (257),brown sugar (255),potato (254),lemon juice (244),bacon (239),vegetable oil (238),nutmeg (228),caraway seed (225),carrot (225),salt pepper (211),clove (208),paprika (208),sauerkraut (203),oil (201),baking powder (200),lemon (200),bay leaf (199),cornstarch (191),egg yolk (189),garlic clove (185),olive oil (180),apple (175),white sugar (174),allspice (173),white wine (169),celery (166),breadcrumb (166),white pepper (164),vinegar (158),mustard (156),dill (154),kosher salt (154),almond (154),cider vinegar (150),thyme (147),beef (145),beer (145)
US,salt (807),butter (724),onion (679),garlic (672),water (655),black pepper (627),egg (591),purpose flour (590),white sugar (579),olive oil (539),vegetable oil (529),milk (528),salt pepper (479),tomato (472),garlic powder (432),green onion (429),celery (426),green bell pepper (425),brown sugar (421),cayenne pepper (416),salt black pepper (396),parsley (394),paprika (373),lemon juice (369),cream (364),worcestershire sauce (364),chicken broth (358),potato (349),cinnamon (340),red bell pepper (332),chili powder (331),carrot (331),mayonnaise (327),oregano (325),cheddar cheese (323),bay leaf (321),thyme (314),bacon (312),cumin (311),basil (311),beef (304),chicken breast half (288),shrimp (273),red pepper flake (272),parmesan cheese (271),lemon (271),baking powder (270),cilantro (269),mushroom (268),onion powder (268)
Argentine_dc_no_com,beef (806),olive oil (698),tomato (684),carrot (646),beef broth (632),butter (604),salt pepper (590),vegetable oil (588),worcestershire sauce (587),mushroom (557),soy sauce (527),cream (514),potato (501),bay leaf (494),garlic powder (492),thyme (487),chili powder (484),parsley (479),green onion (475),tomato paste (470),oregano (465),brown sugar (463),celery (451),cumin (448),red wine (446),egg (444),paprika (436),cornstarch (417),tomato sauce (417),green pepper (409),ginger (398),basil (391),cilantro (387),milk (385),green bell pepper (376),cheddar cheese (375),beef stock (375),red pepper flake (371),red bell pepper (359),steak (350),dijon mustard (350),mustard (336),bacon (335),kosher salt (334),red onion (327),lemon juice (326),rice (322),yellow onion (322),cayenne pepper (320),red pepper (316)
